x,y,value
2,1,161
3,1,297
3,2,78
4,1,102
4,2,27
4,3,78
5,1,94
5,2,30
5,3,45
5,4,9
6,1,100
6,2,23
6,3,61
6,4,30
6,5,45
7,1,98
7,2,20
7,3,37
7,4,18
7,5,47
7,6,52
8,1,84
8,2,26
8,3,37
8,4,17
8,5,46
8,6,54
8,7,41
9,1,162
9,2,33
9,3,71
9,4,19
9,5,41
9,6,62
9,7,86
9,8,38
10,1,84
10,2,17
10,3,29
10,4,13
10,5,18
10,6,34
10,7,9
10,8,16
10,9,20
11,1,41
11,2,14
11,3,21
11,4,7
11,5,24
11,6,14
11,7,19
11,8,19
11,9,25
11,10,22
12,1,74
12,2,19
12,3,44
12,4,14
12,5,29
12,6,23
12,7,34
12,8,21
12,9,48
12,10,21
12,11,25
13,1,83
13,2,22
13,3,37
13,4,15
13,5,13
13,6,28
13,7,22
13,8,18
13,9,22
13,10,10
13,11,18
13,12,30
14,1,91
14,2,17
14,3,37
14,4,11
14,5,13
14,6,21
14,7,21
14,8,16
14,9,27
14,10,17
14,11,18
14,12,31
14,13,97
15,1,52
15,2,16
15,3,13
15,4,5
15,5,22
15,6,31
15,7,24
15,8,25
15,9,21
15,10,9
15,11,8
15,12,10
15,13,7
15,14,6
16,1,78
16,2,22
16,3,26
16,4,15
16,5,18
16,6,36
16,7,12
16,8,14
16,9,17
16,10,11
16,11,8
16,12,15
16,13,20
16,14,19
16,15,27
17,1,33
17,2,20
17,3,19
17,4,9
17,5,15
17,6,31
17,7,23
17,8,20
17,9,20
17,10,5
17,11,8
17,12,20
17,13,40
17,14,30
17,15,12
17,16,9
18,1,65
18,2,14
18,3,35
18,4,17
18,5,19
18,6,33
18,7,30
18,8,22
18,9,33
18,10,9
18,11,13
18,12,28
18,13,16
18,14,17
18,15,18
18,16,28
18,17,17
19,1,56
19,2,18
19,3,20
19,4,6
19,5,18
19,6,29
19,7,20
19,8,17
19,9,17
19,10,6
19,11,6
19,12,18
19,13,14
19,14,14
19,15,23
19,16,34
19,17,29
19,18,34
20,1,170
20,2,18
20,3,61
20,4,50
20,5,16
20,6,21
20,7,21
20,8,11
20,9,40
20,10,27
20,11,18
20,12,20
20,13,21
20,14,18
20,15,7
20,16,10
20,17,8
20,18,14
20,19,6
21,1,63
21,2,13
