"pro","city","value"
"湖北省","武汉",14982
"湖北省","孝感",2436
"湖北省","黄冈",2141
"湖北省","荆州",997
"湖北省","襄阳",988
"湖北省","随州",984
"湖北省","黄石",760
"湖北省","宜昌",711
"湖北省","荆门",663
"湖北省","鄂州",639
"湖北省","咸宁",493
"湖北省","十堰",467
"湖北省","仙桃",379
"湖北省","天门",197
"湖北省","恩施州",171
"湖北省","潜江",82
"湖北省","神农架林区",10
"广东省","深圳",364
"广东省","广州",304
"广东省","珠海",83
"广东省","佛山",65
"广东省","东莞",58
"广东省","中山",51
"广东省","惠州",47
"广东省","汕头",25
"广东省","湛江",21
"广东省","江门",17
"广东省","肇庆",14
"广东省","阳江",13
"广东省","梅州",13
"广东省","清远",10
"广东省","茂名",9
"广东省","揭阳",7
"广东省","韶关",6
"广东省","汕尾",5
"广东省","潮州",5
"广东省","河源",3
"广东省","待明确地区",0
"浙江省","温州",448
"浙江省","杭州",165
"浙江省","宁波",146
"浙江省","台州",138
"浙江省","金华",53
"浙江省","嘉兴",38
"浙江省","绍兴",38
"浙江省","丽水",17
"浙江省","衢州",15
"浙江省","湖州",10
"浙江省","舟山",7
"河南省","信阳",205
"河南省","南阳",133
"河南省","郑州",126
"河南省","驻马店",116
"河南省","商丘",82
"河南省","周口",62
"河南省","平顶山",50
"河南省","新乡",44
"河南省","安阳",44
"河南省","许昌",31
"河南省","漯河",30
"河南省","洛阳",25
"河南省","开封",24
"河南省","焦作",24
"河南省","鹤壁",17
"河南省","濮阳",9
"河南省","三门峡",7
"河南省","济源",4
"河南省","待明确地区",0
"湖南省","长沙",205
"湖南省","岳阳",115
"湖南省","邵阳",87
"湖南省","常德",66
"湖南省","娄底",64
"湖南省","株洲",58
"湖南省","益阳",46
"湖南省","衡阳",45
"湖南省","永州",40
"湖南省","怀化",39
"湖南省","郴州",32
"湖南省","湘潭",28
"湖南省","湘西自治州",8
"湖南省","张家界",5
"安徽省","合肥",136
"安徽省","阜阳",118
"安徽省","蚌埠",115
"安徽省","亳州",87
"安徽省","安庆",75
"安徽省","六安",54
"安徽省","马鞍山",31
"安徽省","芜湖",29
"安徽省","宿州",28
"安徽省","铜陵",24
"安徽省","淮北",23
"安徽省","淮南",22
"安徽省","池州",12
"安徽省","滁州",11
"安徽省","黄山",9
"安徽省","宣城",5
"江西省","南昌",179
"江西省","九江",100
"江西省","新余",100
"江西省","上饶",98
"江西省","宜春",74
"江西省","赣州",69
"江西省","抚州",63
"江西省","萍乡",24
"江西省","吉安",17
"江西省","鹰潭",11
"江西省","景德镇",5
"江苏省","苏州",75
"江苏省","南京",71
"江苏省","徐州",56
"江苏省","淮安",44
"江苏省","无锡",38
"江苏省","连云港",32
"江苏省","南通",32
"江苏省","常州",31
"江苏省","泰州",30
"江苏省","扬州",18
"江苏省","盐城",17
"江苏省","镇江",12
"江苏省","宿迁",12
"重庆市","万州区",84
"重庆市","江北区",23
"重庆市","云阳县",20
"重庆市","渝中区",20
"重庆市","九龙坡区",19
"重庆市","垫江县",19
"重庆市","开州区",18
"重庆市","合川区",17
"重庆市","忠县",16
"重庆市","两江新区",16
"重庆市","长寿区",15
"重庆市","綦江区",15
"重庆市","奉节县",14
"重庆市","潼南区",13
"重庆市","渝北区",12
"重庆市","巫溪县",12
"重庆市","石柱县",12
"重庆市","大足区",10
"重庆市","丰都县",9
"重庆市","璧山区",8
"重庆市","铜梁区",8
"重庆市","巫山县",8
"重庆市","南岸区",8
"重庆市","荣昌区",8
"重庆市","大渡口区",7
"重庆市","永川区",5
"重庆市","江津区",4
"重庆市","梁平区",4
"重庆市","高新区",4
"重庆市","涪陵区",3
"重庆市","巴南区",3
"重庆市","城口县",2
"重庆市","黔江区",2
"重庆市","沙坪坝区",2
"重庆市","彭水县",2
"重庆市","秀山县",1
"重庆市","武隆区",1
"重庆市","酉阳县",1
"重庆市","万盛经开区",1
"山东省","青岛",47
"山东省","济南",42
"山东省","临沂",40
"山东省","济宁",39
"山东省","烟台",36
"山东省","威海",34
"山东省","潍坊",34
"山东省","聊城",33
"山东省","德州",30
"山东省","泰安",23
"山东省","枣庄",21
"山东省","淄博",16
"山东省","日照",15
"山东省","菏泽",14
"山东省","滨州",11
"四川省","成都",120
"四川省","南充",32
"四川省","广安",28
"四川省","达州",25
"四川省","巴中",21
"四川省","绵阳",20
"四川省","内江",17
"四川省","甘孜州",17
"四川省","德阳",16
"四川省","泸州",16
"四川省","攀枝花",13
"四川省","自贡",9
"四川省","宜宾",9
"四川省","凉山州",9
"四川省","遂宁",8
"四川省","眉山",7
"四川省","雅安",6
"四川省","广元",6
"四川省","乐山",3
"四川省","资阳",3
"四川省","阿坝州",1
"北京市","朝阳区",55
"北京市","海淀区",52
"北京市","西城区",38
"北京市","大兴区",35
"北京市","丰台区",27
"北京市","外地来京人员",24
"北京市","昌平区",17
"北京市","通州区",16
"北京市","房山区",14
"北京市","石景山区",13
"北京市","顺义区",10
"北京市","东城区",9
"北京市","怀柔区",7
"北京市","密云区",5
"北京市","门头沟区",3
"北京市","延庆区",1
"北京市","待明确地区",0
"黑龙江省","哈尔滨",114
"黑龙江省","双鸭山",38
"黑龙江省","绥化",35
"黑龙江省","鸡西",34
"黑龙江省","齐齐哈尔",27
"黑龙江省","大庆",13
"黑龙江省","佳木斯",13
"黑龙江省","七台河",13
"黑龙江省","牡丹江",12
"黑龙江省","鹤岗",4
"黑龙江省","大兴安岭",2
"黑龙江省","黑河",2
"上海市","外地来沪人员",97
"上海市","浦东新区",56
"上海市","宝山区",17
"上海市","静安区",16
"上海市","徐汇区",16
"上海市","闵行区",14
"上海市","松江区",14
"上海市","长宁区",11
"上海市","奉贤区",9
"上海市","普陀区",8
"上海市","虹口区",7
"上海市","杨浦区",7
"上海市","嘉定区",6
"上海市","青浦区",5
"上海市","黄浦区",5
"上海市","金山区",2
"上海市","崇明区",2
"福建省","福州",62
"福建省","莆田",47
"福建省","泉州",42
"福建省","厦门",25
"福建省","宁德",23
"福建省","漳州",16
"福建省","南平",16
"福建省","三明",13
"福建省","龙岩",6
"陕西省","西安",96
"陕西省","安康",21
"陕西省","汉中",21
"陕西省","咸阳",16
"陕西省","宝鸡",13
"陕西省","渭南",13
"陕西省","延安",8
"陕西省","铜川",8
"陕西省","商洛",7
"陕西省","榆林",3
"陕西省","韩城",1
"陕西省","杨凌",1
"河北省","沧州",28
"河北省","邯郸",27
"河北省","唐山",27
"河北省","石家庄",24
"河北省","廊坊",22
"河北省","保定",21
"河北省","邢台",21
"河北省","张家口",14
"河北省","衡水",8
"河北省","承德",7
"河北省","秦皇岛",7
"广西壮族自治区","南宁",35
"广西壮族自治区","北海",33
"广西壮族自治区","桂林",29
"广西壮族自治区","柳州",20
"广西壮族自治区","河池",19
"广西壮族自治区","防城港",16
"广西壮族自治区","玉林",9
"广西壮族自治区","钦州",8
"广西壮族自治区","贵港",7
"广西壮族自治区","来宾",7
"广西壮族自治区","梧州",5
"广西壮族自治区","贺州",4
"广西壮族自治区","百色",3
"云南省","昆明",41
"云南省","西双版纳",15
"云南省","玉溪",14
"云南省","昭通",12
"云南省","曲靖",11
"云南省","大理",11
"云南省","保山",9
"云南省","丽江",7
"云南省","红河",5
"云南省","德宏",5
"云南省","普洱",4
"云南省","楚雄",4
"云南省","临沧",1
"云南省","文山",1
"云南省","待明确地区",0
"海南省","三亚",40
"海南省","海口",23
"海南省","万宁",12
"海南省","儋州",11
"海南省","澄迈",7
"海南省","琼海",6
"海南省","临高",5
"海南省","昌江",5
"海南省","陵水",4
"海南省","东方",3
"海南省","定安",3
"海南省","文昌",3
"海南省","保亭",3
"海南省","乐东",2
"海南省","琼中",1
"山西省","晋中",32
"山西省","运城",18
"山西省","太原",15
"山西省","大同",11
"山西省","晋城",8
"山西省","长治",7
"山西省","朔州",6
"山西省","吕梁",6
"山西省","忻州",6
"山西省","阳泉",4
"山西省","临汾",2
"辽宁省","沈阳",26
"辽宁省","大连",16
"辽宁省","盘锦",11
"辽宁省","锦州",10
"辽宁省","葫芦岛",9
"辽宁省","丹东",7
"辽宁省","阜新",7
"辽宁省","朝阳",6
"辽宁省","本溪",3
"辽宁省","铁岭",3
"辽宁省","辽阳",3
"辽宁省","鞍山",3
"辽宁省","营口",1
"贵州省","贵阳",22
"贵州省","毕节",21
"贵州省","遵义",15
"贵州省","六盘水",10
"贵州省","铜仁",7
"贵州省","黔南州",7
"贵州省","黔东南州",6
"贵州省","黔西南州",4
"贵州省","安顺",4
"天津市","宝坻区",31
"天津市","河东区",10
"天津市","河北区",10
"天津市","和平区",6
"天津市","外地来津人员",6
"天津市","河西区",4
"天津市","西青区",4
"天津市","宁河区",4
"天津市","东丽区",4
"天津市","滨海新区",3
"天津市","南开区",3
"天津市","红桥区",2
"天津市","津南区",1
"天津市","北辰区",1
"天津市","武清区",1
"甘肃省","兰州",33
"甘肃省","天水",12
"甘肃省","定西",8
"甘肃省","甘南",6
"甘肃省","陇南",4
"甘肃省","白银",4
"甘肃省","平凉",4
"甘肃省","临夏",3
"甘肃省","张掖",2
"甘肃省","庆阳",2
"甘肃省","金昌",1
"甘肃省","待明确地区",0
"吉林省","长春",37
"吉林省","四平市",12
"吉林省","公主岭",6
"吉林省","辽源",6
"吉林省","吉林市",5
"吉林省","延边",5
"吉林省","通化",3
"吉林省","松原",2
"吉林省","梅河口",1
"吉林省","白城",1
"内蒙古自治区","鄂尔多斯",11
"内蒙古自治区","包头",10
"内蒙古自治区","呼和浩特",7
"内蒙古自治区","巴彦淖尔",6
