"Province","Confirmed","Dead","Cured","Severe","Critical","CloseContact","Obse","UnObse","time"
"安徽省",530,0,20,0,5,11604,1,1,2020-02-04
"海南省",89,1,4,11,0,2042,1054,988,2020-02-04
"重庆市",366,2,14,24,10,10776,7233,3543,2020-02-04
"广东省",870,0,32,69,29,1,3247,1,2020-02-04
"河北省",135,1,4,12,0,4728,2866,1,2020-02-04
"湖北省",16678,479,520,1809,711,32767,32767,1,2020-02-04
"江西省",548,0,27,43,0,13753,11391,2362,2020-02-04
"内蒙古自治区",42,0,0,0,0,1181,1130,51,2020-02-04
"山东省",298,0,13,21,4,10264,6067,4058,2020-02-04
"山西省",81,0,4,4,4,2368,1511,187,2020-02-04
"天津市",67,0,2,17,4,481,422,39,2020-02-04
"西藏自治区",1,0,0,0,0,0,0,0,2020-02-04
"澳门特别行政区",10,0,0,0,0,1,1,1,2020-02-04
"福建省",205,0,7,14,9,1,4193,1077,2020-02-04
"广西壮族自治区",150,0,10,10,4,6469,3972,1,2020-02-04
"黑龙江省",190,2,4,21,1,5609,3042,2206,2020-02-04
"湖南省",661,0,35,77,57,14840,9885,4955,2020-02-04
"吉林省",54,0,1,3,2,1627,1176,451,2020-02-04
"宁夏回族自治区",34,0,1,5,0,1262,1262,0,2020-02-04
"上海市",233,1,12,7,8,1,1,585,2020-02-04
"四川省",301,1,23,0,14,6393,6393,1446,2020-02-04
"香港特别行政区",18,1,0,0,0,0,0,0,2020-02-04
"云南省",122,0,5,13,3,3670,3670,1606,2020-02-04
"北京市",228,1,24,1,10,1,1,1,2020-02-04
"甘肃省",57,0,4,7,3,1784,1309,475,2020-02-04
"贵州省",64,0,5,2,6,793,630,142,2020-02-04
"河南省",764,2,41,38,19,16088,9695,2285,2020-02-04
"江苏省",341,0,13,3,0,6476,5581,895,2020-02-04
"辽宁省",81,0,2,6,0,1436,1109,326,2020-02-04
"青海省",17,0,0,1,0,331,324,10,2020-02-04
"陕西省",165,0,2,1,1,7040,7040,1752,2020-02-04
"台湾省",11,0,0,0,0,0,0,0,2020-02-04
"新疆维吾尔自治区",32,0,0,8,2,1929,1929,0,2020-02-04
"浙江省",895,0,63,65,16,16360,11886,3955,2020-02-04
"安徽省",480,0,14,0,5,10099,1,1,2020-02-03
"海南省",80,1,4,10,0,1893,1030,863,2020-02-03
"重庆市",337,2,9,23,6,9733,6745,2988,2020-02-03
"广东省",797,0,20,61,25,1,2999,1,2020-02-03
"河北省",126,1,3,12,0,4084,2617,298,2020-02-03
"湖北省",13522,414,396,1567,576,32767,32767,1,2020-02-03
"江西省",476,0,19,37,0,12120,10293,1827,2020-02-03
